Gender;Age;Education;Irreligious;Believer;Cul.Rel.;Agnostic;SBNR;Atheist;Spir.Open;Christian;Muslim;Jewish;Buddhist;Hindu
1;28;6;1;4;4;3;4;1;4;4;4;4;4;4
2;58;5;4;1;5;4;2;4;2;1;4;4;2;2
2;31;6;4;1;5;3;4;4;4;1;4;4;4;4
2;25;4;4;1;5;4;4;4;4;1;4;4;4;4
2;27;6;3;2;5;2;4;4;4;1;4;4;4;4
2;58;5;2;3;5;2;1;5;2;4;4;4;4;4
2;25;5;;;;;;;;;;;;
2;39;6;2;3;3;3;2;3;2;4;4;4;2;4
2;24;6;2;4;2;3;4;2;4;2;4;4;4;4
2;23;6;2;4;2;1;3;3;4;3;4;4;4;4
2;27;2;2;3;3;1;2;2;2;3;4;4;4;4
2;43;2;1;3;2;2;1;1;1;3;4;4;2;4
1;25;6;;;;;;;;;;;;
2;45;6;3;2;1;4;4;4;4;1;4;4;4;4
2;22;2;3;3;4;1;2;3;1;4;4;4;4;4
2;29;6;2;4;1;2;4;3;4;2;4;4;4;4
1;25;5;1;4;4;2;4;2;4;4;4;4;4;4
1;27;2;2;3;3;1;3;3;3;3;4;4;4;4
2;22;6;3;2;3;1;3;4;4;3;4;4;3;3
2;27;6;4;1;2;4;4;4;4;4;1;4;4;4
2;29;6;4;1;1;4;4;4;1;2;4;4;4;1
1;24;6;3;4;2;3;4;4;4;3;4;4;4;4
2;19;2;2;3;3;2;2;3;1;3;4;4;4;4
2;28;6;1;4;5;1;4;2;4;2;4;4;4;4
1;27;6;2;3;3;2;3;2;3;3;4;4;4;4
1;26;6;2;3;2;4;3;2;4;3;4;4;4;4
2;25;6;2;3;1;2;4;2;4;2;4;4;4;4
2;28;6;3;3;2;4;4;4;4;3;4;4;4;4
2;19;1;3;3;4;2;4;;3;3;4;3;4;4
2;29;6;2;3;5;2;4;2;4;5;4;4;4;4
2;25;6;3;2;2;2;3;4;1;2;3;3;2;3
2;25;2;4;4;4;4;4;4;4;4;4;4;4;4
2;53;5;4;2;5;4;3;4;3;4;4;4;4;4
1;23;6;3;2;1;2;4;4;2;4;1;4;4;4
2;29;6;3;2;;2;3;3;3;2;4;3;4;4
2;30;6;1;4;1;3;4;3;4;1;4;4;4;4
2;33;5;1;4;3;3;3;1;4;3;4;4;4;4
2;27;5;2;4;2;2;4;2;3;3;4;4;4;4
1;26;3;2;3;5;1;5;2;4;4;4;4;4;4
2;35;6;2;3;1;1;2;3;2;2;4;4;4;4
2;33;6;2;4;2;3;4;3;4;3;4;4;4;4
1;31;6;;;;;;;;;;;;
2;28;6;2;3;2;2;4;2;4;2;4;4;4;4
2;27;5;;;;;;;;;;;;
2;33;3;2;2;2;3;4;4;1;2;4;4;4;4
2;30;6;4;1;4;4;4;4;4;1;4;4;4;4
2;24;6;;;;;;;;;;;;
2;58;5;2;3;3;2;3;2;3;4;4;4;4;4
2;53;3;;;;;;;;;;;;
1;28;6;1;4;4;2;4;2;3;4;4;4;3;4
1;23;6;1;4;2;1;3;2;4;3;4;4;4;4
1;54;1;4;1;2;5;4;4;2;1;4;4;4;4
1;26;6;2;4;4;2;4;1;4;4;4;4;4;4
2;28;5;2;4;2;5;4;3;2;4;4;4;4;4
1;28;6;1;4;4;4;4;2;4;4;4;4;4;4
2;27;6;3;3;2;2;4;4;4;2;4;4;4;4
2;19;2;2;2;5;5;1;4;2;2;4;4;4;4
2;28;5;1;4;4;2;4;1;4;4;4;4;4;4
1;27;5;;;;;;;;;;;;
2;60;4;1;4;2;1;4;1;4;4;4;4;4;4
2;41;3;4;1;2;3;2;4;2;1;4;4;4;4
2;52;6;1;4;4;5;4;5;4;4;4;4;4;4
2;46;3;4;2;2;3;4;4;3;1;4;4;4;4
1;35;6;1;4;3;1;1;4;1;3;4;4;4;4
2;41;6;4;2;2;2;3;4;1;2;4;4;4;4
1;34;5;1;4;4;5;4;1;4;4;4;4;4;4
2;24;5;;;;;;;;;;;;
2;31;6;2;4;2;1;3;3;5;2;4;4;4;4
2;55;3;2;3;5;2;4;2;4;2;4;4;4;4
2;34;6;4;2;1;4;4;4;4;2;4;4;4;4
2;46;5;2;3;2;1;2;4;3;1;4;4;4;4
2;25;4;2;4;3;2;4;2;4;4;4;4;4;4
2;18;2;4;2;2;4;4;4;2;2;4;4;4;4
2;49;5;4;1;1;4;4;4;4;4;4;4;4;4
1;23;6;4;1;2;2;2;4;3;4;1;4;4;4
1;18;2;5;2;3;3;4;4;4;1;4;4;4;4
1;36;6;1;4;4;1;2;1;3;4;4;4;4;4
1;26;2;1;4;4;4;4;1;4;4;4;4;4;4
1;57;6;4;2;1;2;4;4;3;1;4;4;4;4
2;24;2;1;4;2;4;4;1;4;4;4;4;4;4
2;26;6;4;1;1;4;4;4;4;1;4;4;4;4
1;29;6;4;2;2;2;4;4;4;1;4;4;4;4
1;52;6;1;4;3;2;4;2;4;3;4;4;4;4
